country_iso3;country;region_id;region_name;city;longitude;latitude;svg_x;svg_y;svg_width;svg_height;coordinate_note
CYP;Cypr;cyp-r1;Cypr;Nikozja;33.382300;35.185600;1232.40;1097.15;1800;1200;"SVG: origin top-left; x right; y down"
CZE;Czechy;cze-r1;Czechy;Praga;14.437800;50.075500;781.30;762.64;1800;1200;"SVG: origin top-left; x right; y down"
DNK;Dania;dnk-r1;Dania;Kopenhaga;12.568300;55.676100;742.20;607.98;1800;1200;"SVG: origin top-left; x right; y down"
EST;Estonia;est-r1;Estonia;Tallinn;24.753600;59.437000;910.40;481.97;1800;1200;"SVG: origin top-left; x right; y down"
FIN;Finlandia;fin-r1;Region Helsinki;Helsinki;24.938400;60.169900;908.46;461.41;1800;1200;"SVG: origin top-left; x right; y down"
FIN;Finlandia;fin-r2;Region Tampere;Tampere;23.761000;61.497800;884.82;428.37;1800;1200;"SVG: origin top-left; x right; y down"
FIN;Finlandia;fin-r3;Region Oulu;Oulu;25.465100;65.012100;884.05;328.18;1800;1200;"SVG: origin top-left; x right; y down"
FRA;Francja;fra-r1;Region Paryż;Paryż;2.352200;48.856600;561.09;791.75;1800;1200;"SVG: origin top-left; x right; y down"
FRA;Francja;fra-r2;Region Lyon;Lyon;4.835700;45.764000;600.81;881.76;1800;1200;"SVG: origin top-left; x right; y down"
FRA;Francja;fra-r3;Region Marsylia;Marsylia;5.369800;43.296500;607.19;951.00;1800;1200;"SVG: origin top-left; x right; y down"
FRA;Francja;fra-r4;Region Bordeaux;Bordeaux;-0.579200;44.837800;492.19;896.17;1800;1200;"SVG: origin top-left; x right; y down"
GEO;Gruzja;geo-r1;Gruzja;Tbilisi;44.827100;41.715100;1402.24;831.29;1800;1200;"SVG: origin top-left; x right; y down"
DEU;Niemcy;deu-r1;Region Berlin;Berlin;13.405000;52.520000;759.61;695.46;1800;1200;"SVG: origin top-left; x right; y down"
DEU;Niemcy;deu-r2;Region Hamburg;Hamburg;9.993700;53.551100;701.54;668.03;1800;1200;"SVG: origin top-left; x right; y down"
DEU;Niemcy;deu-r3;Region Monachium;Monachium;11.582000;48.135100;731.20;818.86;1800;1200;"SVG: origin top-left; x right; y down"
DEU;Niemcy;deu-r4;Region Frankfurt nad Menem;Frankfurt nad Menem;8.682100;50.110900;677.99;763.85;1800;1200;"SVG: origin top-left; x right; y down"
GRC;Grecja;grc-r1;Region Ateny;Ateny;23.727500;37.983800;1004.58;1073.95;1800;1200;"SVG: origin top-left; x right; y down"
GRC;Grecja;grc-r2;Region Saloniki;Saloniki;22.944400;40.640100;976.15;1004.15;1800;1200;"SVG: origin top-left; x right; y down"
HUN;Węgry;hun-r1;Węgry;Budapeszt;19.040200;47.497900;872.17;826.51;1800;1200;"SVG: origin top-left; x right; y down"
ISL;Islandia;isl-r1;Region Reykjavík;Reykjavík;-21.942600;64.146600;325.36;284.38;1800;1200;"SVG: origin top-left; x right; y down"
ISL;Islandia;isl-r2;Region Akureyri;Akureyri;-18.090700;65.682600;385.76;264.85;1800;1200;"SVG: origin top-left; x right; y down"
IRL;Irlandia;irl-r1;Irlandia;Dublin;-6.260300;53.349800;432.58;643.30;1800;1200;"SVG: origin top-left; x right; y down"
ITA;Włochy;ita-r1;Region Rzym;Rzym;12.496400;41.902800;753.80;991.77;1800;1200;"SVG: origin top-left; x right; y down"
ITA;Włochy;ita-r2;Region Mediolan;Mediolan;9.190000;45.464200;685.73;893.52;1800;1200;"SVG: origin top-left; x right; y down"
ITA;Włochy;ita-r3;Region Neapol;Neapol;14.268100;40.851800;792.30;1019.24;1800;1200;"SVG: origin top-left; x right; y down"
XKX;Kosowo;xkx-r1;Kosowo;Prisztina;21.165500;42.662900;931.08;954.46;1800;1200;"SVG: origin top-left; x right; y down"
LVA;Łotwa;lva-r1;Łotwa;Ryga;24.105200;56.949600;915.60;551.99;1800;1200;"SVG: origin top-left; x right; y down"
LIE;Liechtenstein;lie-r1;Liechtenstein;Vaduz;9.520900;47.141000;692.52;846.86;1800;1200;"SVG: origin top-left; x right; y down"
LTU;Litwa;ltu-r1;Litwa;Wilno;25.279700;54.687200;946.82;610.22;1800;1200;"SVG: origin top-left; x right; y down"
LUX;Luksemburg;lux-r1;Luksemburg;Luksemburg;6.131900;49.611600;631.53;776.15;1800;1200;"SVG: origin top-left; x right; y down"
MLT;Malta;mlt-r1;Malta;Valletta;14.514600;35.898900;804.82;1155.77;1800;1200;"SVG: origin top-left; x right; y down"
MDA;Mołdawia;mda-r1;Mołdawia;Kiszyniów;28.835300;47.010500;1056.87;805.01;1800;1200;"SVG: origin top-left; x right; y down"
MCO;Monako;mco-r1;Monako;Monako;7.424600;43.738400;649.48;940.73;1800;1200;"SVG: origin top-left; x right; y down"
MNE;Czarnogóra;mne-r1;Czarnogóra;Podgorica;19.262900;42.430400;892.98;966.20;1800;1200;"SVG: origin top-left; x right; y down"
NLD;Niderlandy;nld-r1;Niderlandy;Amsterdam;4.904100;52.367600;614.64;698.03;1800;1200;"SVG: origin top-left; x right; y down"
MKD;Macedonia Północna;mkd-r1;Macedonia Północna;Skopje;21.431400;41.998100;939.11;971.95;1800;1200;"SVG: origin top-left; x right; y down"
NOR;Norwegia;nor-r1;Region Oslo;Oslo;10.752200;59.913900;712.23;490.40;1800;1200;"SVG: origin top-left; x right; y down"
NOR;Norwegia;nor-r2;Region Bergen;Bergen;5.322100;60.393000;636.80;474.96;1800;1200;"SVG: origin top-left; x right; y down"
NOR;Norwegia;nor-r3;Region Trondheim;Trondheim;10.395100;63.430500;706.62;392.49;1800;1200;"SVG: origin top-left; x right; y down"
POL;Polska;pol-r1;Region Warszawa;Warszawa;21.012200;52.229700;889.59;690.67;1800;1200;"SVG: origin top-left; x right; y down"
POL;Polska;pol-r2;Region Kraków;Kraków;19.945000;50.064700;879.69;753.26;1800;1200;"SVG: origin top-left; x right; y down"
POL;Polska;pol-r3;Region Gdańsk;Gdańsk;18.646600;54.352000;842.35;637.24;1800;1200;"SVG: origin top-left; x right; y down"
PRT;Portugalia;prt-r1;Portugalia;Lizbona;-9.139300;38.722300;286.29;1028.28;1800;1200;"SVG: origin top-left; x right; y down"
ROU;Rumunia;rou-r1;Region Bukareszt;Bukareszt;26.102500;44.426800;1021.18;887.87;1800;1200;"SVG: origin top-left; x right; y down"
ROU;Rumunia;rou-r2;Region Kluż-Napoka;Kluż-Napoka;23.623600;46.771200;961.29;833.26;1800;1200;"SVG: origin top-left; x right; y down"
ROU;Rumunia;rou-r3;Region Jassy;Jassy;27.601400;47.158500;1033.19;806.73;1800;1200;"SVG: origin top-left; x right; y down"
RUS;Rosja;rus-r1;Region Moskwa;Moskwa;37.617300;55.755800;1124.52;523.72;1800;1200;"SVG: origin top-left; x right; y down"
RUS;Rosja;rus-r2;Region Sankt Petersburg;Sankt Petersburg;30.335100;59.934300;983.04;449.13;1800;1200;"SVG: origin top-left; x right; y down"
RUS;Rosja;rus-r3;Region Niżny Nowogród;Niżny Nowogród;44.006000;56.326900;1206.91;467.28;1800;1200;"SVG: origin top-left; x right; y down"
RUS;Rosja;rus-r4;Region Kazań;Kazań;49.106400;55.796100;1282.16;441.16;1800;1200;"SVG: origin top-left; x right; y down"
RUS;Rosja;rus-r5;Region Rostów nad Donem;Rostów nad Donem;39.701500;47.235700;1249.02;732.05;1800;1200;"SVG: origin top-left; x right; y down"
RUS;Rosja;rus-r6;Region Wołgograd;Wołgograd;44.516900;48.708000;1312.46;655.75;1800;1200;"SVG: origin top-left; x right; y down"
SMR;San Marino;smr-r1;San Marino;San Marino;12.457800;43.942400;751.26;935.14;1800;1200;"SVG: origin top-left; x right; y down"
SRB;Serbia;srb-r1;Serbia;Belgrad;20.448900;44.786600;908.73;897.95;1800;1200;"SVG: origin top-left; x right; y down"
SVK;Słowacja;svk-r1;Słowacja;Bratysława;17.107700;48.148600;834.17;812.42;1800;1200;"SVG: origin top-left; x right; y down"
SVN;Słowenia;svn-r1;Słowenia;Lublana;14.505800;46.056900;789.17;874.44;1800;1200;"SVG: origin top-left; x right; y down"
ESP;Hiszpania;esp-r1;Region Madryt;Madryt;-3.703800;40.416800;410.20;1007.43;1800;1200;"SVG: origin top-left; x right; y down"
ESP;Hiszpania;esp-r2;Region Barcelona;Barcelona;2.173400;41.385100;537.06;998.47;1800;1200;"SVG: origin top-left; x right; y down"
ESP;Hiszpania;esp-r3;Region Walencja;Walencja;-0.376300;39.469900;477.12;1044.76;1800;1200;"SVG: origin top-left; x right; y down"
ESP;Hiszpania;esp-r4;Region Sewilla;Sewilla;-5.984500;37.389100;346.60;1080.45;1800;1200;"SVG: origin top-left; x right; y down"
SWE;Szwecja;swe-r1;Region Sztokholm;Sztokholm;18.068600;59.329300;816.85;500.21;1800;1200;"SVG: origin top-left; x right; y down"
SWE;Szwecja;swe-r2;Region Göteborg;Göteborg;11.974600;57.708900;731.21;551.55;1800;1200;"SVG: origin top-left; x right; y down"
SWE;Szwecja;swe-r3;Region Malmö;Malmö;13.003800;55.605000;749.16;609.69;1800;1200;"SVG: origin top-left; x right; y down"
SWE;Szwecja;swe-r4;Region Umeå;Umeå;20.263000;63.825800;828.59;372.18;1800;1200;"SVG: origin top-left; x right; y down"
CHE;Szwajcaria;che-r1;Szwajcaria;Berno;7.447400;46.948000;652.86;851.43;1800;1200;"SVG: origin top-left; x right; y down"
TUR;Turcja;tur-r1;Region Stambuł;Stambuł;28.978400;41.008200;1099.22;967.20;1800;1200;"SVG: origin top-left; x right; y down"
TUR;Turcja;tur-r2;Region Ankara;Ankara;32.859700;39.933400;1186.12;973.48;1800;1200;"SVG: origin top-left; x right; y down"
TUR;Turcja;tur-r3;Region Izmir;Izmir;27.142800;38.423700;1076.22;1046.76;1800;1200;"SVG: origin top-left; x right; y down"
TUR;Turcja;tur-r4;Region Bursa;Bursa;29.060900;40.195000;1106.09;988.81;1800;1200;"SVG: origin top-left; x right; y down"
TUR;Turcja;tur-r5;Region Antalya;Antalya;30.713300;36.896900;1162.42;1068.52;1800;1200;"SVG: origin top-left; x right; y down"
UKR;Ukraina;ukr-r1;Region Kijów;Kijów;30.523400;50.450100;1061.88;703.61;1800;1200;"SVG: origin top-left; x right; y down"
UKR;Ukraina;ukr-r2;Region Lwów;Lwów;24.031600;49.842900;953.13;747.39;1800;1200;"SVG: origin top-left; x right; y down"
UKR;Ukraina;ukr-r3;Region Odessa;Odessa;30.723300;46.482500;1095.39;809.73;1800;1200;"SVG: origin top-left; x right; y down"
UKR;Ukraina;ukr-r4;Region Charków;Charków;36.230400;49.993500;1162.03;683.61;1800;1200;"SVG: origin top-left; x right; y down"
GBR;Wielka Brytania;gbr-r1;Region Londyn;Londyn;-0.127600;51.507200;525.88;712.87;1800;1200;"SVG: origin top-left; x right; y down"
GBR;Wielka Brytania;gbr-r2;Region Birmingham;Birmingham;-1.890400;52.486200;500.03;681.23;1800;1200;"SVG: origin top-left; x right; y down"
GBR;Wielka Brytania;gbr-r3;Region Manchester;Manchester;-2.242600;53.480800;498.82;652.81;1800;1200;"SVG: origin top-left; x right; y down"
GBR;Wielka Brytania;gbr-r4;Region Glasgow;Glasgow;-4.251800;55.864200;479.33;581.31;1800;1200;"SVG: origin top-left; x right; y down"
VAT;Watykan;vat-r1;Watykan;Watykan;12.453400;41.902900;752.90;991.79;1800;1200;"SVG: origin top-left; x right; y down"
