region_id;country_iso3;country;region_index;region_count_country;region_name;main_city;label_svg_x;label_svg_y;city_svg_x;city_svg_y
esp-r4;ESP;Hiszpania;4;4;Region Sewilla;Sewilla;361.83;1067.65;346.60;1080.45
swe-r1;SWE;Szwecja;1;4;Region Sztokholm;Sztokholm;787.51;494.55;816.85;500.21
swe-r2;SWE;Szwecja;2;4;Region Göteborg;Göteborg;752.38;539.46;731.21;551.55
swe-r3;SWE;Szwecja;3;4;Region Malmö;Malmö;767.76;585.76;749.16;609.69
swe-r4;SWE;Szwecja;4;4;Region Umeå;Umeå;796.47;326.92;828.59;372.18
che-r1;CHE;Szwajcaria;1;1;Szwajcaria;Berno;668.43;855.10;652.86;851.43
tur-r1;TUR;Turcja;1;5;Region Stambuł;Stambuł;1123.37;965.23;1099.22;967.20
tur-r2;TUR;Turcja;2;5;Region Ankara;Ankara;1297.51;951.95;1186.12;973.48
tur-r3;TUR;Turcja;3;5;Region Izmir;Izmir;1092.39;1045.91;1076.22;1046.76
tur-r4;TUR;Turcja;4;5;Region Bursa;Bursa;1112.87;1009.09;1106.09;988.81
tur-r5;TUR;Turcja;5;5;Region Antalya;Antalya;1181.94;1054.89;1162.42;1068.52
ukr-r1;UKR;Ukraina;1;4;Region Kijów;Kijów;1059.70;714.84;1061.88;703.61
ukr-r2;UKR;Ukraina;2;4;Region Lwów;Lwów;975.62;749.51;953.13;747.39
ukr-r3;UKR;Ukraina;3;4;Region Odessa;Odessa;1121.68;795.79;1095.39;809.73
ukr-r4;UKR;Ukraina;4;4;Region Charków;Charków;1178.62;709.55;1162.03;683.61
gbr-r1;GBR;Wielka Brytania;1;4;Region Londyn;Londyn;528.45;703.69;525.88;712.87
gbr-r2;GBR;Wielka Brytania;2;4;Region Birmingham;Birmingham;482.16;700.96;500.03;681.23
gbr-r3;GBR;Wielka Brytania;3;4;Region Manchester;Manchester;511.42;641.08;498.82;652.81
gbr-r4;GBR;Wielka Brytania;4;4;Region Glasgow;Glasgow;486.36;562.51;479.33;581.31
vat-r1;VAT;Watykan;1;1;Watykan;Watykan;752.90;992.86;752.90;991.79
